SALESORDERID,SALESORDERITEM,PRODUCTID,QUANTITY,QUANTITYUNIT
200000028,40,M1,5,EA
200000028,50,MZ-TG-A20,8,EA
200000029,10,M-01,1,EA
200000029,20,MZ-TG-SR01,1,EA
200000029,30,MZ-TG-A25,7,EA
200000029,40,MZ-FG-E16,8,EA
200000030,10,MZ-FG-C900,4,EA
200000030,20,MZ-FG-C950,3,EA
200000030,30,MZ-FG-P010,2,EA
200000030,40,MZ-FG-E17,3,EA
200000030,50,MZ-TG-A26,6,EA
200000030,60,MZ-TG-E202,7,EA
200000031,10,MZ-FG-C900,5,EA
200000031,20,MZ-FG-C20,10,EA
200000031,30,MZ-FG-M525,4,EA
200000032,10,FG226,3,EA
200000033,10,MZ-TG-Y120,2,EA
200000033,20,MZ-TG-A25,10,EA
200000033,30,MZ-TG-A25,5,EA
200000033,40,MZ-FG-M525,7,EA
200000033,50,MZ-FG-C950,6,EA
200000033,60,MZ-FG-C10,9,EA
200000034,10,MZ-TG-A25,2,EA
200000034,20,MZ-FG-E16,7,EA
200000034,30,MZ-FG-E103,2,EA
200000035,10,MZ-FG-E17,7,EA
200000035,20,MZ-FG-E108,9,EA
200000035,30,MZ-FG-C10,4,EA
200000035,40,MZ-TG-E202,10,EA
200000035,50,M1,7,EA
200000036,10,MZ-TG-SR01,1,EA
200000036,20,M1,4,EA
200000036,30,MZ-FG-C20,4,EA
200000036,40,MZ-TG-E202,3,EA
200000037,10,MZ-FG-E17,5,EA
200000037,20,MZ-FG-C950,1,EA
200000037,30,MZ-TG-E202,4,EA
200000037,40,MZ-FG-E15,1,EA
200000038,10,MZ-TG-Y200,2,EA
200000038,20,MZ-FG-C950,9,EA
200000038,30,MZ-FG-C20,6,EA
200000038,40,FG226,2,EA
200000039,10,MZ-TG-Y200,9,EA
200000039,20,MZ-FG-M500,1,EA
200000039,30,FG226,2,EA
200000040,10,MZ-TG-A26,2,EA
200000041,10,MZ-FG-C10,7,EA
200000041,20,MZ-TG-SR01,3,EA
200000042,10,MZ-FG-E15,5,EA
200000042,20,MZ-FG-C21,3,EA
200000043,10,MZ-FG-E108,6,EA
200000043,20,FG226,5,EA
200000043,30,TG11,5,EA
200000043,40,MZ-TG-Y120,2,EA
200000044,10,MZ-FG-C950,1,EA
200000044,20,MZ-TG-A25,3,EA
200000044,30,MZ-FG-C20,3,EA
200000044,40,MZ-FG-R100,8,EA
200000045,10,MZ-FG-R300,2,EA
200000045,20,MZ-FG-E101,4,EA
200000045,30,MZ-FG-E15,5,EA
200000046,10,MZ-TG-Y200,9,EA
200000046,20,TG11,8,EA
200000046,30,MZ-FG-C20,3,EA
200000046,40,MZ-FG-C21,6,EA
200000047,10,MZ-FG-E102,9,EA
200000048,10,M1,10,EA
200000048,20,TG11,7,EA
200000048,30,MZ-FG-R200,6,EA
200000048,40,TG11,9,EA
200000048,50,M-01,8,EA
200000048,60,MZ-TG-SR01,3,EA
200000049,10,MZ-FG-C990,6,EA
200000049,20,TG11,7,EA
200000049,30,MZ-FG-R200,5,EA
200000049,40,TG11,3,EA
200000049,50,MZ-FG-C21,1,EA
200000049,60,FG226,2,EA
200000050,10,MZ-FG-C20,10,EA
200000050,20,TG11,5,EA
200000050,30,MZ-TG-SR01,10,EA
200000050,40,M-01,2,EA
200000051,10,MZ-TG-A26,8,EA
200000051,20,MZ-FG-C900,1,EA
200000051,30,MZ-FG-M550,8,EA
200000051,40,MZ-TG-Y240,4,EA
200000051,50,MZ-TG-A20,2,EA
200000051,60,MZ-TG-Y200,9,EA
200000052,10,MZ-FG-M525,5,EA
200000052,20,MZ-FG-C20,1,EA
200000052,30,MZ-FG-E103,8,EA
200000053,10,MZ-FG-R100,10,EA
200000053,20,CM-FL-V00,1,EA
200000053,30,MZ-TG-Y120,1,EA
200000053,40,MZ-FG-C950,1,EA
200000053,50,MZ-TG-A27,3,EA
200000054,10,MZ-FG-R300,4,EA
200000054,20,MZ-FG-E101,3,EA
200000054,30,MZ-TG-A20,3,EA
200000054,40,MZ-FG-E103,8,EA
200000054,50,MZ-FG-E16,10,EA
200000055,10,MZ-FG-M500,9,EA
200000055,20,MZ-FG-E15,7,EA
200000055,30,MZ-FG-C10,1,EA
200000055,40,MZ-FG-E101,7,EA
200000055,50,MZ-TG-Y120,9,EA
200000056,10,MZ-FG-E108,7,EA
200000056,20,M-01,1,EA
200000056,30,MZ-FG-E103,3,EA
200000057,10,M-01,2,EA
200000057,20,MZ-FG-R200,3,EA
200000057,30,MZ-FG-C20,8,EA
200000057,40,M1,7,EA
200000057,50,MZ-TG-SR01,10,EA
200000058,10,MZ-FG-C21,4,EA
200000058,20,CM-FL-V00,10,EA
200000058,30,MZ-FG-E103,10,EA
200000059,10,MZ-TG-A20,4,EA
200000059,20,MZ-FG-C10,4,EA
200000059,30,MZ-FG-C10,1,EA
200000059,40,MZ-FG-C950,2,EA
200000059,50,MZ-TG-A27,10,EA
200000059,60,MZ-FG-R300,10,EA
200000060,10,M1,2,EA
200000060,20,MZ-FG-E101,3,EA
200000060,30,MZ-FG-C10,7,EA
200000060,40,MZ-FG-R100,2,EA
200000060,50,MZ-FG-M550,10,EA
200000061,10,MZ-FG-C900,3,EA
200000061,20,M1,6,EA
200000061,30,MZ-TG-A25,2,EA
200000061,40,MZ-FG-E102,2,EA
200000061,50,MZ-FG-E17,10,EA
200000061,60,MZ-FG-C950,1,EA
200000062,10,MZ-TG-A27,5,EA
200000062,20,M1,1,EA
200000062,30,MZ-FG-C20,2,EA
200000062,40,MZ-FG-C20,3,EA
200000063,10,MZ-FG-C950,8,EA
200000063,20,M-01,1,EA
200000064,10,MZ-FG-R300,5,EA
200000064,20,MZ-FG-M525,6,EA
200000064,30,MZ-TG-A20,3,EA
200000064,40,MZ-TG-A20,7,EA
200000064,50,MZ-TG-Y240,9,EA
200000065,10,MZ-FG-M525,6,EA
200000066,10,FG226,1,EA
200000067,10,MZ-TG-E202,2,EA
200000067,20,MZ-FG-C990,4,EA
200000068,10,MZ-FG-P010,8,EA
200000068,20,MZ-TG-Y120,1,EA
200000068,30,MZ-FG-E103,9,EA
200000069,10,MZ-TG-Y240,2,EA
200000069,20,MZ-FG-R300,2,EA
200000070,10,MZ-FG-E16,1,EA
200000070,20,MZ-FG-C10,6,EA
200000070,30,MZ-TG-SR01,5,EA
200000070,40,MZ-FG-R300,7,EA
200000071,10,MZ-FG-E17,9,EA
200000071,20,MZ-FG-E102,3,EA
200000072,10,MZ-FG-E15,7,EA
200000072,20,MZ-FG-E103,7,EA
200000073,10,MZ-FG-E15,5,EA
200000073,20,MZ-FG-M500,2,EA
200000073,30,FG226,5,EA
200000074,10,TG11,6,EA
200000074,20,MZ-FG-C990,3,EA
200000074,30,MZ-FG-C20,4,EA
200000074,40,M-01,1,EA
200000075,10,TG11,4,EA
200000075,20,MZ-TG-A20,7,EA
200000075,30,MZ-FG-E15,10,EA
200000076,10,MZ-TG-A20,4,EA
200000076,20,MZ-FG-R200,9,EA
200000077,10,MZ-FG-C21,10,EA
200000077,20,MZ-FG-C900,7,EA
200000077,30,MZ-TG-Y200,10,EA
200000077,40,FG226,6,EA
200000077,50,TG11,1,EA
200000078,10,M1,3,EA
200000078,20,MZ-TG-Y240,7,EA
200000078,30,MZ-TG-A20,3,EA
200000078,40,MZ-FG-C900,3,EA
200000078,50,MZ-FG-M500,2,EA
200000079,10,MZ-FG-E102,1,EA
200000079,20,MZ-FG-R200,2,EA
200000080,10,MZ-TG-E202,7,EA
200000080,20,M-01,7,EA
200000080,30,MZ-TG-SR01,5,EA
200000080,40,MZ-FG-M500,6,EA
200000081,10,MZ-FG-R300,2,EA
200000081,20,MZ-FG-M500,8,EA
200000082,10,M-01,6,EA
200000082,20,MZ-TG-Y200,10,EA
200000082,30,MZ-FG-R200,2,EA
200000082,40,MZ-TG-SR01,1,EA
200000082,50,CM-FL-V00,5,EA
200000082,60,MZ-TG-E202,1,EA
200000083,10,MZ-FG-R100,7,EA
200000083,20,MZ-FG-E101,3,EA
200000083,30,MZ-FG-C21,3,EA
200000083,40,MZ-TG-Y120,8,EA
200000083,50,CM-FL-V00,7,EA
200000084,10,MZ-FG-C900,1,EA
200000084,20,MZ-TG-E202,5,EA
200000084,30,MZ-FG-E103,5,EA
200000085,10,FG226,9,EA
200000085,20,MZ-FG-M525,6,EA
200000085,30,MZ-TG-SR01,4,EA
200000085,40,MZ-FG-E15,2,EA
200000086,10,MZ-TG-E202,2,EA
200000087,10,MZ-FG-C21,6,EA
200000088,10,MZ-FG-M525,9,EA
200000089,10,MZ-FG-C900,10,EA
200000089,20,MZ-TG-A25,3,EA
200000089,30,MZ-FG-P010,2,EA
200000089,40,MZ-FG-C10,8,EA
200000089,50,MZ-TG-A25,6,EA
200000089,60,CM-FL-V00,2,EA
200000090,10,MZ-FG-C900,6,EA
200000090,20,TG11,2,EA
200000090,30,MZ-FG-P010,8,EA
200000090,40,MZ-FG-E17,7,EA
200000090,50,CM-FL-V00,2,EA
200000090,60,M-01,10,EA
200000091,10,MZ-FG-M500,6,EA
200000091,20,MZ-FG-E17,7,EA
200000091,30,MZ-FG-R300,4,EA
200000091,40,MZ-FG-E103,7,EA
200000091,50,TG11,5,EA
200000091,60,MZ-TG-Y200,2,EA
200000092,10,MZ-FG-C900,10,EA
200000093,10,MZ-FG-M525,5,EA
200000093,20,MZ-TG-A25,6,EA
200000093,30,MZ-FG-M550,10,EA
200000093,40,MZ-FG-C20,9,EA
200000094,10,MZ-FG-C990,4,EA
200000094,20,MZ-FG-E17,3,EA
200000095,10,MZ-FG-R100,2,EA
200000095,20,M1,5,EA
200000095,30,MZ-FG-E15,7,EA
200000096,10,MZ-FG-C990,9,EA
200000096,20,MZ-FG-E15,9,EA
200000096,30,MZ-FG-R200,7,EA
200000096,40,FG226,8,EA
200000096,50,MZ-FG-C10,1,EA
200000096,60,MZ-FG-C990,7,EA
200000097,10,MZ-TG-A26,8,EA
200000097,20,MZ-FG-R200,5,EA
200000097,30,M-01,1,EA
200000097,40,MZ-TG-E202,2,EA
200000098,10,MZ-FG-R300,1,EA
200000098,20,MZ-TG-Y200,9,EA
200000098,30,MZ-FG-C20,3,EA
200000098,40,MZ-FG-E108,10,EA
200000099,10,MZ-TG-A25,8,EA
200000099,20,MZ-FG-C21,3,EA
200000099,30,MZ-FG-E17,5,EA
200000100,10,MZ-FG-C10,5,EA
200000100,20,MZ-TG-A27,5,EA
200000100,30,MZ-FG-P010,3,EA
200000100,40,MZ-TG-SR01,3,EA
200000100,50,MZ-TG-Y200,7,EA
200000100,60,MZ-TG-SR01,4,EA
200000101,10,M1,6,EA
200000102,10,MZ-TG-SR01,4,EA
200000102,20,MZ-TG-A26,9,EA
200000103,10,MZ-TG-E202,6,EA
200000103,20,MZ-TG-Y200,8,EA
200000103,30,MZ-FG-E17,5,EA
200000103,40,MZ-FG-C990,3,EA
200000103,50,CM-FL-V00,3,EA
200000103,60,MZ-FG-E108,5,EA
200000104,10,MZ-TG-A26,6,EA
200000104,20,MZ-FG-E16,5,EA
200000104,30,MZ-TG-A20,6,EA
200000104,40,MZ-FG-C10,9,EA
200000104,50,MZ-FG-M525,10,EA
200000105,10,MZ-FG-P010,4,EA
200000105,20,MZ-FG-M550,3,EA
200000106,10,MZ-FG-E17,8,EA
200000106,20,MZ-FG-C20,4,EA
200000107,10,MZ-FG-E101,2,EA
200000107,20,MZ-FG-P010,8,EA
200000107,30,MZ-TG-A25,6,EA
200000107,40,MZ-FG-C21,1,EA
200000108,10,MZ-FG-M550,7,EA
200000108,20,MZ-TG-A27,3,EA
200000108,30,MZ-FG-C20,8,EA
200000108,40,MZ-TG-Y240,3,EA
200000109,10,MZ-FG-M550,7,EA
200000110,10,MZ-FG-R100,5,EA
200000110,20,MZ-TG-SR01,10,EA
200000111,10,MZ-FG-R100,2,EA
200000112,10,M1,1,EA
200000113,10,MZ-FG-M550,4,EA
200000113,20,MZ-FG-R200,1,EA
200000114,10,MZ-FG-R200,10,EA
200000114,20,MZ-TG-A20,5,EA
200000114,30,MZ-FG-C20,6,EA
200000114,40,MZ-FG-R200,10,EA
200000115,10,TG11,2,EA
200000115,20,MZ-TG-Y120,4,EA
200000115,30,MZ-FG-P010,8,EA
200000115,40,MZ-FG-E103,9,EA
200000115,50,MZ-FG-R200,10,EA
200000115,60,MZ-TG-Y120,10,EA
200000116,10,MZ-FG-M500,8,EA
200000116,20,M1,5,EA
200000117,10,MZ-FG-M500,8,EA
200000117,20,MZ-FG-C990,3,EA
200000117,30,MZ-FG-C990,2,EA
200000117,40,TG11,9,EA
200000117,50,MZ-FG-R300,7,EA
200000118,10,MZ-FG-E108,3,EA
200000118,20,MZ-FG-C900,1,EA
200000118,30,MZ-FG-C20,5,EA
200000118,40,MZ-FG-M500,6,EA
200000119,10,TG11,2,EA
200000119,20,MZ-FG-R200,8,EA
200000119,30,MZ-FG-C900,9,EA
200000119,40,M-01,4,EA
200000119,50,MZ-FG-E15,2,EA
200000120,10,MZ-TG-SR01,9,EA
200000120,20,MZ-TG-A20,9,EA
200000120,30,MZ-TG-SR01,4,EA
200000120,40,MZ-FG-M500,8,EA
200000121,10,MZ-FG-E102,4,EA
200000122,10,MZ-TG-Y120,1,EA
200000122,20,MZ-TG-SR01,2,EA
200000122,30,MZ-TG-A20,8,EA
200000122,40,M1,8,EA
200000122,50,MZ-FG-E103,9,EA
200000123,10,MZ-FG-C950,6,EA
200000123,20,MZ-FG-C10,7,EA
200000123,30,MZ-FG-R300,10,EA
200000124,10,MZ-TG-Y240,3,EA
200000124,20,MZ-FG-E17,6,EA
200000124,30,MZ-FG-C20,3,EA
200000124,40,TG11,1,EA
200000125,10,M-01,4,EA
200000125,20,CM-FL-V00,7,EA
200000125,30,MZ-FG-E15,6,EA
200000126,10,MZ-FG-C10,3,EA
200000126,20,MZ-TG-Y120,1,EA
200000126,30,MZ-TG-A20,9,EA
200000126,40,MZ-FG-E102,9,EA
200000126,50,CM-FL-V00,6,EA
200000127,10,MZ-FG-C900,6,EA
200000127,20,MZ-FG-E108,9,EA
200000127,30,MZ-FG-C950,8,EA
200000127,40,MZ-FG-E17,9,EA
200000128,10,MZ-TG-E202,4,EA
200000129,10,CM-FL-V00,4,EA
200000129,20,MZ-TG-A20,8,EA
200000129,30,M-01,6,EA
200000129,40,MZ-FG-R100,2,EA
200000129,50,MZ-FG-C21,2,EA
200000130,10,MZ-FG-C950,5,EA
200000130,20,TG11,2,EA
200000130,30,MZ-FG-P010,5,EA
200000130,40,MZ-FG-R300,9,EA
200000130,50,FG226,7,EA
200000130,60,MZ-FG-E101,3,EA
200000131,10,MZ-FG-E15,7,EA
200000131,20,MZ-FG-C20,9,EA
200000132,10,MZ-FG-C950,4,EA
200000132,20,MZ-TG-A25,1,EA
200000132,30,MZ-TG-A20,1,EA
200000132,40,MZ-TG-A25,2,EA
200000132,50,M-01,9,EA
200000133,10,MZ-FG-E101,6,EA
200000133,20,MZ-FG-E103,2,EA
200000133,30,MZ-FG-C10,8,EA
200000133,40,M-01,6,EA
200000133,50,CM-FL-V00,3,EA
200000133,60,MZ-TG-A27,9,EA
200000134,10,MZ-FG-P010,1,EA
200000134,20,MZ-TG-A20,2,EA
200000135,10,MZ-TG-Y120,2,EA
200000135,20,MZ-TG-A25,3,EA
200000135,30,MZ-FG-C10,2,EA
200000135,40,MZ-FG-C21,8,EA
200000135,50,MZ-TG-A20,1,EA
200000136,10,MZ-FG-M550,3,EA
200000136,20,MZ-TG-E202,8,EA
200000136,30,MZ-FG-E103,3,EA
200000137,10,MZ-TG-A20,8,EA
200000137,20,MZ-FG-E101,10,EA
200000137,30,MZ-TG-E202,5,EA
200000138,10,MZ-FG-M500,6,EA
200000139,10,M1,5,EA
200000139,20,MZ-TG-A27,2,EA
200000139,30,MZ-FG-E103,8,EA
200000139,40,MZ-TG-A27,6,EA
200000139,50,MZ-FG-C10,3,EA
200000139,60,MZ-FG-E16,1,EA
200000140,10,MZ-TG-A25,9,EA
200000140,20,MZ-TG-A25,7,EA
200000140,30,MZ-FG-E15,10,EA
200000141,10,MZ-FG-E103,2,EA
200000141,20,MZ-FG-E17,3,EA
200000141,30,MZ-FG-R100,10,EA
200000141,40,FG226,1,EA
200000142,10,MZ-FG-M525,3,EA
200000143,10,MZ-FG-C10,8,EA
200000143,20,MZ-FG-C10,6,EA
200000144,10,M-01,6,EA
200000144,20,MZ-FG-E101,8,EA
200000144,30,MZ-FG-C20,3,EA
200000144,40,MZ-FG-R200,2,EA
200000145,10,MZ-TG-A25,2,EA
200000145,20,MZ-TG-E202,7,EA
200000145,30,MZ-FG-P010,9,EA
200000145,40,MZ-TG-Y240,3,EA
200000145,50,MZ-TG-Y200,7,EA
200000145,60,MZ-FG-E101,6,EA
200000146,10,M1,5,EA
200000146,20,MZ-FG-P010,5,EA
200000147,10,MZ-TG-Y120,6,EA
200000147,20,MZ-FG-M550,7,EA
200000147,30,MZ-TG-Y240,10,EA
200000148,10,MZ-TG-SR01,9,EA
200000148,20,MZ-FG-P010,4,EA
200000148,30,MZ-FG-C20,5,EA
200000148,40,MZ-FG-C10,9,EA
200000149,10,MZ-FG-R300,8,EA
200000149,20,MZ-FG-C990,3,EA
200000149,30,MZ-FG-C21,2,EA
200000149,40,M-01,8,EA
200000150,10,MZ-FG-C21,10,EA
200000151,10,MZ-TG-A25,7,EA
200000151,20,MZ-FG-C20,3,EA
200000151,30,M-01,8,EA
200000151,40,MZ-FG-E103,7,EA
200000151,50,MZ-FG-C900,2,EA
200000152,10,MZ-FG-R200,10,EA
200000152,20,MZ-FG-C950,9,EA
200000152,30,MZ-FG-E103,7,EA
200000153,10,TG11,5,EA
200000153,20,MZ-TG-Y200,7,EA
200000153,30,MZ-TG-A20,8,EA
200000153,40,MZ-FG-C10,7,EA
200000153,50,MZ-FG-M550,4,EA
200000154,10,MZ-FG-C990,8,EA
200000154,20,CM-FL-V00,5,EA
200000154,30,MZ-TG-A20,8,EA
200000154,40,MZ-TG-A26,7,EA
200000154,50,MZ-FG-E101,9,EA
200000155,10,MZ-FG-C990,8,EA
200000155,20,TG11,10,EA
200000155,30,MZ-FG-P010,3,EA
200000155,40,MZ-FG-M525,2,EA
200000155,50,MZ-FG-C10,8,EA
200000155,60,MZ-FG-R300,3,EA
200000156,10,MZ-TG-A27,10,EA
200000156,20,MZ-FG-E103,10,EA
200000156,30,MZ-TG-A20,2,EA
200000156,40,MZ-FG-C10,4,EA
200000156,50,FG226,3,EA
200000157,10,MZ-TG-SR01,3,EA
200000157,20,MZ-FG-C990,1,EA
200000157,30,MZ-TG-E202,7,EA
200000157,40,M1,4,EA
200000157,50,MZ-FG-R300,1,EA
200000157,60,MZ-FG-M550,7,EA
200000158,10,TG11,8,EA
200000158,20,MZ-FG-E101,7,EA
200000158,30,MZ-FG-R200,6,EA
200000158,40,MZ-FG-C21,6,EA
200000158,50,TG11,8,EA
200000158,60,MZ-FG-P010,9,EA
200000159,10,MZ-FG-R100,8,EA
200000159,20,CM-FL-V00,1,EA
200000160,10,MZ-TG-A27,6,EA
200000160,20,MZ-FG-P010,3,EA
200000160,30,MZ-FG-C10,5,EA
200000160,40,MZ-FG-M500,7,EA
200000160,50,MZ-FG-M500,3,EA
200000161,10,MZ-FG-R300,10,EA
200000161,20,MZ-TG-Y200,7,EA
200000161,30,MZ-FG-E103,3,EA
200000162,10,MZ-FG-E101,10,EA
200000162,20,MZ-FG-M525,10,EA
200000163,10,MZ-FG-C10,2,EA
200000163,20,MZ-TG-A25,5,EA
200000163,30,MZ-FG-M550,8,EA
200000163,40,FG226,1,EA
200000163,50,MZ-FG-M550,2,EA
200000163,60,MZ-FG-M525,8,EA
200000164,10,MZ-FG-E17,4,EA
200000164,20,MZ-TG-Y120,1,EA
200000165,10,MZ-FG-E108,10,EA
200000165,20,MZ-TG-E202,10,EA
200000165,30,MZ-FG-C10,2,EA
200000165,40,MZ-TG-A26,10,EA
200000165,50,MZ-TG-Y120,7,EA
200000166,10,MZ-FG-P010,1,EA
200000166,20,MZ-TG-Y200,9,EA
200000166,30,MZ-TG-A20,4,EA
200000166,40,MZ-FG-C990,6,EA
200000166,50,MZ-FG-R200,3,EA
200000167,10,MZ-FG-R100,10,EA
200000167,20,MZ-TG-Y120,5,EA
200000167,30,MZ-FG-C900,3,EA
200000167,40,MZ-FG-E108,2,EA
200000168,10,M-01,6,EA
200000169,10,MZ-FG-R200,10,EA
200000169,20,MZ-FG-C900,7,EA
200000169,30,MZ-FG-M500,5,EA
200000170,10,MZ-FG-E16,10,EA
200000170,20,TG11,9,EA
200000170,30,MZ-FG-C10,2,EA
200000170,40,M1,7,EA
200000170,50,MZ-FG-E15,2,EA
200000171,10,MZ-TG-Y120,4,EA
200000171,20,MZ-FG-C21,1,EA
200000171,30,MZ-FG-C20,2,EA
200000171,40,MZ-FG-E17,4,EA
200000172,10,MZ-FG-M525,2,EA
200000172,20,MZ-FG-C10,5,EA
200000172,30,MZ-FG-R200,6,EA
200000172,40,MZ-FG-C950,2,EA
200000172,50,MZ-FG-R300,4,EA
200000172,60,MZ-TG-SR01,5,EA
200000173,10,MZ-TG-A25,5,EA
200000173,20,MZ-FG-R200,3,EA
200000173,30,MZ-FG-E103,2,EA
200000173,40,MZ-FG-E103,4,EA
200000173,50,TG11,6,EA
200000174,10,TG11,7,EA
200000174,20,MZ-TG-E202,4,EA
200000174,30,MZ-FG-R200,1,EA
200000174,40,MZ-FG-C990,6,EA
200000174,50,MZ-FG-E102,7,EA
200000174,60,MZ-TG-SR01,1,EA
200000175,10,MZ-FG-R100,8,EA
200000175,20,M1,2,EA
200000175,30,MZ-FG-C10,5,EA
200000175,40,MZ-FG-E108,4,EA
200000175,50,TG11,7,EA
200000176,10,MZ-FG-E15,8,EA
200000176,20,CM-FL-V00,9,EA
200000177,10,MZ-FG-E15,1,EA
200000178,10,MZ-FG-M550,6,EA
200000178,20,MZ-TG-SR01,7,EA
200000179,10,MZ-FG-R100,5,EA
200000179,20,FG226,5,EA
200000179,30,MZ-TG-Y200,1,EA
200000179,40,MZ-FG-C21,4,EA
200000179,50,MZ-FG-M500,5,EA
200000180,10,MZ-FG-E15,5,EA
200000180,20,TG11,2,EA
200000180,30,MZ-FG-E15,6,EA
200000181,10,MZ-FG-E102,3,EA
200000181,20,MZ-FG-E17,3,EA
200000181,30,MZ-FG-M525,8,EA
200000182,10,MZ-FG-M525,9,EA
200000182,20,MZ-FG-R300,4,EA
200000182,30,MZ-FG-C20,3,EA
200000182,40,MZ-FG-M500,7,EA
200000183,10,MZ-TG-Y120,3,EA
200000183,20,MZ-FG-M525,5,EA
200000184,10,MZ-FG-C10,3,EA
200000184,20,MZ-FG-M550,5,EA
200000184,30,MZ-FG-R200,3,EA
200000184,40,MZ-FG-C21,3,EA
200000184,50,M1,1,EA
200000184,60,MZ-FG-E101,10,EA
200000185,10,MZ-TG-A20,2,EA
200000185,20,MZ-FG-C20,7,EA
200000185,30,MZ-FG-P010,4,EA
200000185,40,MZ-FG-E101,5,EA
200000185,50,MZ-FG-E15,5,EA
200000185,60,MZ-TG-A27,2,EA
200000186,10,MZ-TG-A26,4,EA
200000186,20,MZ-TG-A20,5,EA
200000186,30,MZ-FG-E103,2,EA
200000187,10,MZ-FG-C900,5,EA
200000187,20,MZ-FG-M500,2,EA
200000187,30,M-01,2,EA
200000187,40,M-01,3,EA
200000187,50,MZ-FG-R100,8,EA
200000188,10,MZ-TG-SR01,4,EA
200000188,20,MZ-FG-E101,1,EA
200000189,10,MZ-FG-R300,6,EA
200000189,20,MZ-FG-E108,3,EA
200000190,10,MZ-FG-M525,1,EA
200000191,10,MZ-FG-M525,8,EA
200000191,20,MZ-FG-E108,10,EA
200000191,30,MZ-TG-Y200,7,EA
200000191,40,MZ-TG-Y200,3,EA
200000191,50,M1,7,EA
200000192,10,MZ-FG-E16,10,EA
200000193,10,MZ-TG-Y240,9,EA
200000194,10,MZ-TG-Y240,3,EA
200000194,20,MZ-FG-R200,1,EA
200000194,30,MZ-FG-E103,9,EA
