SALESORDERID,CREATEDBY,CREATEDAT,CHANGEDBY,CHANGEDAT,FISCVARIANT,FISCALYEARPERIOD,PARTNERID,SALESORG,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS,SALESORDERITEM,PRODUCTID,NOTEID,ITEMATPSTATUS,OPITEMPOS,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITYUNIT,QUANTITY,DELIVERYDATE
300000003,3,20160115,3,20160120,K4,2016001,100000009,EMEA,C,C,C,30,RC-1056, ,I,,USD,2249.1,1967.9625,281.1375,EA,5,20160223
300000003,3,20160115,3,20160120,K4,2016001,100000009,EMEA,C,C,C,40,CB-1161, ,I,,USD,359.1,314.2125,44.8875,EA,1,20160223
300000003,3,20160115,3,20160120,K4,2016001,100000009,EMEA,C,C,C,50,EB-1131, ,I,,USD,1350,1181.25,168.75,EA,10,20160223
300000003,3,20160115,3,20160120,K4,2016001,100000009,EMEA,C,C,C,60,MB-1034, ,I,,USD,2249.1,1967.9625,281.1375,EA,3,20160223
300000003,3,20160115,3,20160120,K4,2016001,100000009,EMEA,C,C,C,70,DB-1082, ,I,,USD,1125,984.375,140.625,EA,8,20160223
300000003,3,20160115,3,20160120,K4,2016001,100000009,EMEA,C,C,C,80,EB-1134, ,I,,USD,4320,3780,540,EA,10,20160223
300000004,8,20160116,8,20160117,K4,2016001,100000025,EMEA,C,C,C,10,BX-1014, ,I,,USD,719.1,629.2125,89.8875,EA,3,20160305
300000004,8,20160116,8,20160117,K4,2016001,100000025,EMEA,C,C,C,20,EB-1134, ,I,,USD,4320,3780,540,EA,2,20160305
300000004,8,20160116,8,20160117,K4,2016001,100000025,EMEA,C,C,C,30,CB-1163, ,I,,USD,259.2,226.8,32.4,EA,8,20160305
300000004,8,20160116,8,20160117,K4,2016001,100000025,EMEA,C,C,C,40,BX-1013, ,I,,USD,404.1,353.5875,50.5125,EA,6,20160305
300000004,8,20160116,8,20160117,K4,2016001,100000025,EMEA,C,C,C,50,MB-1034, ,I,,USD,2249.1,1967.9625,281.1375,EA,10,20160305
300000004,8,20160116,8,20160117,K4,2016001,100000025,EMEA,C,C,C,60,MB-1031, ,I,,USD,584.1,511.0875,73.0125,EA,2,20160305
300000004,8,20160116,8,20160117,K4,2016001,100000025,EMEA,C,C,C,70,RC-1051, ,I,,USD,2249.1,1967.9625,281.1375,EA,10,20160305
300000004,8,20160116,8,20160117,K4,2016001,100000025,EMEA,C,C,C,80,HB-1174, ,I,,USD,341.1,298.4625,42.6375,EA,9,20160305
300000005,8,20160116,8,20160119,K4,2016001,100000008,EMEA,C,C,C,10,RC-1054, ,I,,USD,4949.1,4330.4625,618.6375,EA,10,20160301
300000005,8,20160116,8,20160119,K4,2016001,100000008,EMEA,C,C,C,20,CC-1021, ,I,,USD,1029.6,900.9,128.7,EA,3,20160301
300000005,8,20160116,8,20160119,K4,2016001,100000008,EMEA,C,C,C,30,RC-1052, ,I,,USD,3599.1,3149.2125,449.8875,EA,9,20160301
300000005,8,20160116,8,20160119,K4,2016001,100000008,EMEA,C,C,C,40,BX-1011, ,I,,USD,224.1,196.0875,28.0125,EA,10,20160301
300000005,8,20160116,8,20160119,K4,2016001,100000008,EMEA,C,C,C,50,HB-1175, ,I,,USD,809.1,707.9625,101.1375,EA,2,20160301
300000005,8,20160116,8,20160119,K4,2016001,100000008,EMEA,C,C,C,60,RO-1002, ,I,,USD,620.1,542.5875,77.5125,EA,8,20160301
300000006,3,20160117,3,20160120,K4,2016001,100000038,EMEA,C,C,C,10,EB-1137, ,I,,USD,7110,6221.25,888.75,EA,5,20160314
300000006,3,20160117,3,20160120,K4,2016001,100000038,EMEA,C,C,C,20,CB-1163, ,I,,USD,259.2,226.8,32.4,EA,8,20160314
300000006,3,20160117,3,20160120,K4,2016001,100000038,EMEA,C,C,C,30,EB-1134, ,I,,USD,4320,3780,540,EA,7,20160314
300000006,3,20160117,3,20160120,K4,2016001,100000038,EMEA,C,C,C,40,HB-1176, ,I,,USD,1079.1,944.2125,134.8875,EA,3,20160314
300000006,3,20160117,3,20160120,K4,2016001,100000038,EMEA,C,C,C,50,RC-1052, ,I,,USD,3599.1,3149.2125,449.8875,EA,6,20160314
300000006,3,20160117,3,20160120,K4,2016001,100000038,EMEA,C,C,C,60,EB-1135, ,I,,USD,2700,2362.5,337.5,EA,9,20160314
300000006,3,20160117,3,20160120,K4,2016001,100000038,EMEA,C,C,C,70,RC-1054, ,I,,USD,4949.1,4330.4625,618.6375,EA,8,20160314
300000007,4,20160119,4,20160121,K4,2016001,100000020,APJ,C,C,C,10,HB-1171, ,I,,USD,629.1,550.4625,78.6375,EA,2,20160308
300000008,3,20160120,3,20160122,K4,2016001,100000028,EMEA,C,C,C,10,EB-1137, ,I,,USD,7110,6221.25,888.75,EA,10,20160225
300000008,3,20160120,3,20160122,K4,2016001,100000028,EMEA,C,C,C,20,CC-1022, ,I,,USD,1080,945,135,EA,6,20160225
300000008,3,20160120,3,20160122,K4,2016001,100000028,EMEA,C,C,C,30,CC-1023, ,I,,USD,1224.9,1071.7875,153.1125,EA,10,20160225
300000008,3,20160120,3,20160122,K4,2016001,100000028,EMEA,C,C,C,40,RC-1052, ,I,,USD,3599.1,3149.2125,449.8875,EA,7,20160225
300000009,4,20160121,4,20160122,K4,2016001,100000021,APJ,C,C,C,10,BX-1014, ,I,,USD,719.1,629.2125,89.8875,EA,9,20160309
300000009,4,20160121,4,20160122,K4,2016001,100000021,APJ,C,C,C,20,EB-1131, ,I,,USD,1350,1181.25,168.75,EA,3,20160309
300000009,4,20160121,4,20160122,K4,2016001,100000021,APJ,C,C,C,30,EB-1135, ,I,,USD,2700,2362.5,337.5,EA,7,20160309
300000009,4,20160121,4,20160122,K4,2016001,100000021,APJ,C,C,C,40,CC-1021, ,I,,USD,1029.6,900.9,128.7,EA,1,20160309
300000009,4,20160121,4,20160122,K4,2016001,100000021,APJ,C,C,C,50,EB-1135, ,I,,USD,2700,2362.5,337.5,EA,6,20160309
300000009,4,20160121,4,20160122,K4,2016001,100000021,APJ,C,C,C,60,BX-1013, ,I,,USD,404.1,353.5875,50.5125,EA,10,20160309
300000009,4,20160121,4,20160122,K4,2016001,100000021,APJ,C,C,C,70,DB-1081, ,I,,USD,1349.1,1180.4625,168.6375,EA,10,20160309
300000009,4,20160121,4,20160122,K4,2016001,100000021,APJ,C,C,C,80,CB-1161, ,I,,USD,359.1,314.2125,44.8875,EA,8,20160309
300000009,4,20160121,4,20160122,K4,2016001,100000021,APJ,C,C,C,90,HB-1171, ,I,,USD,629.1,550.4625,78.6375,EA,4,20160309
300000009,4,20160121,4,20160122,K4,2016001,100000021,APJ,C,C,C,100,HB-1175, ,I,,USD,809.1,707.9625,101.1375,EA,2,20160309
300000010,1,20160124,1,20160126,K4,2016001,100000004,AMER,C,C,C,10,RO-1002, ,I,,USD,620.1,542.5875,77.5125,EA,10,20160323
300000010,1,20160124,1,20160126,K4,2016001,100000004,AMER,C,C,C,20,CC-1021, ,I,,USD,1029.6,900.9,128.7,EA,3,20160323
300000011,4,20160127,4,20160130,K4,2016001,100000020,APJ,C,C,C,10,MB-1032, ,I,,USD,1169.1,1022.9625,146.1375,EA,8,20160322
300000011,4,20160127,4,20160130,K4,2016001,100000020,APJ,C,C,C,20,RO-1001, ,I,,USD,472.5,413.4375,59.0625,EA,3,20160322
300000011,4,20160127,4,20160130,K4,2016001,100000020,APJ,C,C,C,30,MB-1031, ,I,,USD,584.1,511.0875,73.0125,EA,5,20160322
300000011,4,20160127,4,20160130,K4,2016001,100000020,APJ,C,C,C,40,BX-1016, ,I,,USD,287.1,251.2125,35.8875,EA,1,20160322
300000011,4,20160127,4,20160130,K4,2016001,100000020,APJ,C,C,C,50,EB-1132, ,I,,USD,1710,1496.25,213.75,EA,1,20160322
300000011,4,20160127,4,20160130,K4,2016001,100000020,APJ,C,C,C,60,EB-1135, ,I,,USD,2700,2362.5,337.5,EA,9,20160322
300000011,4,20160127,4,20160130,K4,2016001,100000020,APJ,C,C,C,70,RC-1054, ,I,,USD,4949.1,4330.4625,618.6375,EA,10,20160322
300000012,4,20160130,4,20160204,K4,2016001,100000022,APJ,C,C,C,10,HB-1176, ,I,,USD,1079.1,944.2125,134.8875,EA,9,20160317
300000012,4,20160130,4,20160204,K4,2016001,100000022,APJ,C,C,C,20,CB-1161, ,I,,USD,359.1,314.2125,44.8875,EA,2,20160317
300000012,4,20160130,4,20160204,K4,2016001,100000022,APJ,C,C,C,30,BX-1013, ,I,,USD,404.1,353.5875,50.5125,EA,9,20160317
300000013,11,20160202,11,20160205,K4,2016002,100000031,AMER,C,C,C,10,RO-1001, ,I,,USD,472.5,413.4375,59.0625,EA,3,20160321
300000013,11,20160202,11,20160205,K4,2016002,100000031,AMER,C,C,C,20,BX-1015, ,I,,USD,269.1,235.4625,33.6375,EA,7,20160321
300000013,11,20160202,11,20160205,K4,2016002,100000031,AMER,C,C,C,30,RC-1055, ,I,,USD,1799.1,1574.2125,224.8875,EA,8,20160321
300000013,11,20160202,11,20160205,K4,2016002,100000031,AMER,C,C,C,40,RO-1001, ,I,,USD,472.5,413.4375,59.0625,EA,5,20160321
300000013,11,20160202,11,20160205,K4,2016002,100000031,AMER,C,C,C,50,CC-1023, ,I,,USD,1224.9,1071.7875,153.1125,EA,3,20160321
300000013,11,20160202,11,20160205,K4,2016002,100000031,AMER,C,C,C,60,EB-1133, ,I,,USD,2025,1771.875,253.125,EA,8,20160321
300000013,11,20160202,11,20160205,K4,2016002,100000031,AMER,C,C,C,70,CC-1022, ,I,,USD,1080,945,135,EA,9,20160321
300000013,11,20160202,11,20160205,K4,2016002,100000031,AMER,C,C,C,80,RC-1051, ,I,,USD,2249.1,1967.9625,281.1375,EA,6,20160321
300000014,11,20160203,11,20160205,K4,2016002,100000033,AMER,C,C,C,10,CB-1161, ,I,,USD,359.1,314.2125,44.8875,EA,3,20160315
300000014,11,20160203,11,20160205,K4,2016002,100000033,AMER,C,C,C,20,DB-1082, ,I,,USD,1125,984.375,140.625,EA,4,20160315
300000014,11,20160203,11,20160205,K4,2016002,100000033,AMER,C,C,C,30,DB-1081, ,I,,USD,1349.1,1180.4625,168.6375,EA,10,20160315
300000014,11,20160203,11,20160205,K4,2016002,100000033,AMER,C,C,C,40,BX-1011, ,I,,USD,224.1,196.0875,28.0125,EA,3,20160315
300000014,11,20160203,11,20160205,K4,2016002,100000033,AMER,C,C,C,50,CC-1022, ,I,,USD,1080,945,135,EA,7,20160315
300000014,11,20160203,11,20160205,K4,2016002,100000033,AMER,C,C,C,60,CB-1162, ,I,,USD,360,315,45,EA,6,20160315
300000015,10,20160204,10,20160209,K4,2016002,100000032,AMER,C,C,C,10,DB-1083, ,I,,USD,1079.1,944.2125,134.8875,EA,2,20160403
300000015,10,20160204,10,20160209,K4,2016002,100000032,AMER,C,C,C,20,CB-1162, ,I,,USD,360,315,45,EA,7,20160403
300000015,10,20160204,10,20160209,K4,2016002,100000032,AMER,C,C,C,30,MB-1033, ,I,,USD,3599.1,3149.2125,449.8875,EA,4,20160403
300000016,8,20160205,8,20160210,K4,2016002,100000025,EMEA,C,C,C,10,RC-1052, ,I,,USD,3599.1,3149.2125,449.8875,EA,4,20160307
300000016,8,20160205,8,20160210,K4,2016002,100000025,EMEA,C,C,C,20,BX-1012, ,I,,USD,359.1,314.2125,44.8875,EA,1,20160307
300000016,8,20160205,8,20160210,K4,2016002,100000025,EMEA,C,C,C,30,RC-1052, ,I,,USD,3599.1,3149.2125,449.8875,EA,4,20160307
300000016,8,20160205,8,20160210,K4,2016002,100000025,EMEA,C,C,C,40,EB-1133, ,I,,USD,2025,1771.875,253.125,EA,2,20160307
300000016,8,20160205,8,20160210,K4,2016002,100000025,EMEA,C,C,C,50,EB-1132, ,I,,USD,1710,1496.25,213.75,EA,2,20160307
300000017,13,20160206,13,20160211,K4,2016002,100000030,AMER,C,C,C,10,RC-1057, ,I,,USD,4499.1,3936.7125,562.3875,EA,1,20160305
300000017,13,20160206,13,20160211,K4,2016002,100000030,AMER,C,C,C,20,DB-1083, ,I,,USD,1079.1,944.2125,134.8875,EA,4,20160305
300000017,13,20160206,13,20160211,K4,2016002,100000030,AMER,C,C,C,30,RC-1053, ,I,,USD,4139.1,3621.7125,517.3875,EA,1,20160305
300000017,13,20160206,13,20160211,K4,2016002,100000030,AMER,C,C,C,40,DB-1081, ,I,,USD,1349.1,1180.4625,168.6375,EA,7,20160305
300000017,13,20160206,13,20160211,K4,2016002,100000030,AMER,C,C,C,50,BX-1011, ,I,,USD,224.1,196.0875,28.0125,EA,1,20160305
300000017,13,20160206,13,20160211,K4,2016002,100000030,AMER,C,C,C,60,EB-1132, ,I,,USD,1710,1496.25,213.75,EA,1,20160305
300000017,13,20160206,13,20160211,K4,2016002,100000030,AMER,C,C,C,70,RO-1001, ,I,,USD,472.5,413.4375,59.0625,EA,8,20160305
300000017,13,20160206,13,20160211,K4,2016002,100000030,AMER,C,C,C,80,RC-1054, ,I,,USD,4949.1,4330.4625,618.6375,EA,8,20160305
300000018,1,20160206,1,20160207,K4,2016002,100000034,AMER,C,C,C,10,BX-1016, ,I,,USD,287.1,251.2125,35.8875,EA,9,20160328
300000019,12,20160207,12,20160210,K4,2016002,100000034,AMER,C,C,C,10,DB-1082, ,I,,USD,1125,984.375,140.625,EA,10,20160401
300000019,12,20160207,12,20160210,K4,2016002,100000034,AMER,C,C,C,20,RO-1001, ,I,,USD,472.5,413.4375,59.0625,EA,5,20160401
300000019,12,20160207,12,20160210,K4,2016002,100000034,AMER,C,C,C,30,DB-1083, ,I,,USD,1079.1,944.2125,134.8875,EA,10,20160401
300000019,12,20160207,12,20160210,K4,2016002,100000034,AMER,C,C,C,40,CB-1162, ,I,,USD,360,315,45,EA,1,20160401
300000020,11,20160209,11,20160212,K4,2016002,100000001,AMER,C,C,C,10,CC-1023, ,I,,USD,1224.9,1071.7875,153.1125,EA,8,20160322
300000020,11,20160209,11,20160212,K4,2016002,100000001,AMER,C,C,C,20,EB-1136, ,I,,USD,4500,3937.5,562.5,EA,3,20160322
300000020,11,20160209,11,20160212,K4,2016002,100000001,AMER,C,C,C,30,MB-1033, ,I,,USD,3599.1,3149.2125,449.8875,EA,8,20160322
300000021,7,20160209,7,20160212,K4,2016002,100000001,AMER,C,C,C,10,HB-1174, ,I,,USD,341.1,298.4625,42.6375,EA,1,20160411
300000022,3,20160210,3,20160214,K4,2016002,100000011,EMEA,C,C,C,10,EB-1132, ,I,,USD,1710,1496.25,213.75,EA,3,20160330
300000022,3,20160210,3,20160214,K4,2016002,100000011,EMEA,C,C,C,20,DB-1082, ,I,,USD,1125,984.375,140.625,EA,1,20160330
300000023,3,20160213,3,20160217,K4,2016002,100000012,EMEA,C,C,C,10,CB-1163, ,I,,USD,259.2,226.8,32.4,EA,5,20160323
300000023,3,20160213,3,20160217,K4,2016002,100000012,EMEA,C,C,C,20,HB-1176, ,I,,USD,1079.1,944.2125,134.8875,EA,8,20160323
300000023,3,20160213,3,20160217,K4,2016002,100000012,EMEA,C,C,C,30,RC-1053, ,I,,USD,4139.1,3621.7125,517.3875,EA,6,20160323
300000023,3,20160213,3,20160217,K4,2016002,100000012,EMEA,C,C,C,40,DB-1083, ,I,,USD,1079.1,944.2125,134.8875,EA,10,20160323
300000023,3,20160213,3,20160217,K4,2016002,100000012,EMEA,C,C,C,50,EB-1132, ,I,,USD,1710,1496.25,213.75,EA,8,20160323
300000023,3,20160213,3,20160217,K4,2016002,100000012,EMEA,C,C,C,60,RC-1051, ,I,,USD,2249.1,1967.9625,281.1375,EA,8,20160323
300000024,4,20160213,4,20160214,K4,2016002,100000015,APJ,C,C,C,10,HB-1172, ,I,,USD,719.1,629.2125,89.8875,EA,2,20160402
300000024,4,20160213,4,20160214,K4,2016002,100000015,APJ,C,C,C,20,CC-1023, ,I,,USD,1224.9,1071.7875,153.1125,EA,10,20160402
300000024,4,20160213,4,20160214,K4,2016002,100000015,APJ,C,C,C,30,BX-1013, ,I,,USD,404.1,353.5875,50.5125,EA,5,20160402
300000024,4,20160213,4,20160214,K4,2016002,100000015,APJ,C,C,C,40,CC-1021, ,I,,USD,1029.6,900.9,128.7,EA,4,20160402
300000024,4,20160213,4,20160214,K4,2016002,100000015,APJ,C,C,C,50,RC-1056, ,I,,USD,2249.1,1967.9625,281.1375,EA,5,20160402
300000024,4,20160213,4,20160214,K4,2016002,100000015,APJ,C,C,C,60,EB-1135, ,I,,USD,2700,2362.5,337.5,EA,2,20160402
300000024,4,20160213,4,20160214,K4,2016002,100000015,APJ,C,C,C,70,CC-1023, ,I,,USD,1224.9,1071.7875,153.1125,EA,10,20160402
300000024,4,20160213,4,20160214,K4,2016002,100000015,APJ,C,C,C,80,CC-1022, ,I,,USD,1080,945,135,EA,9,20160402
300000024,4,20160213,4,20160214,K4,2016002,100000015,APJ,C,C,C,90,CC-1023, ,I,,USD,1224.9,1071.7875,153.1125,EA,4,20160402
300000024,4,20160213,4,20160214,K4,2016002,100000015,APJ,C,C,C,100,MB-1034, ,I,,USD,2249.1,1967.9625,281.1375,EA,10,20160402
300000025,2,20160214,2,20160216,K4,2016002,100000010,EMEA,C,C,C,10,RC-1056, ,I,,USD,2249.1,1967.9625,281.1375,EA,10,20160325
300000025,2,20160214,2,20160216,K4,2016002,100000010,EMEA,C,C,C,20,HB-1173, ,I,,USD,584.1,511.0875,73.0125,EA,8,20160325
300000025,2,20160214,2,20160216,K4,2016002,100000010,EMEA,C,C,C,30,RO-1003, ,I,,USD,648.9,567.7875,81.1125,EA,5,20160325
300000025,2,20160214,2,20160216,K4,2016002,100000010,EMEA,C,C,C,40,BX-1013, ,I,,USD,404.1,353.5875,50.5125,EA,4,20160325
300000025,2,20160214,2,20160216,K4,2016002,100000010,EMEA,C,C,C,50,MB-1034, ,I,,USD,2249.1,1967.9625,281.1375,EA,8,20160325
300000026,2,20160215,2,20160220,K4,2016002,100000012,EMEA,C,C,C,10,DB-1081, ,I,,USD,1349.1,1180.4625,168.6375,EA,2,20160412
300000026,2,20160215,2,20160220,K4,2016002,100000012,EMEA,C,C,C,20,DB-1083, ,I,,USD,1079.1,944.2125,134.8875,EA,6,20160412
300000026,2,20160215,2,20160220,K4,2016002,100000012,EMEA,C,C,C,30,BX-1013, ,I,,USD,404.1,353.5875,50.5125,EA,10,20160412
300000026,2,20160215,2,20160220,K4,2016002,100000012,EMEA,C,C,C,40,HB-1175, ,I,,USD,809.1,707.9625,101.1375,EA,2,20160412
300000026,2,20160215,2,20160220,K4,2016002,100000012,EMEA,C,C,C,50,BX-1011, ,I,,USD,224.1,196.0875,28.0125,EA,6,20160412
300000026,2,20160215,2,20160220,K4,2016002,100000012,EMEA,C,C,C,60,RC-1056, ,I,,USD,2249.1,1967.9625,281.1375,EA,8,20160412
300000026,2,20160215,2,20160220,K4,2016002,100000012,EMEA,C,C,C,70,EB-1136, ,I,,USD,4500,3937.5,562.5,EA,8,20160412
300000026,2,20160215,2,20160220,K4,2016002,100000012,EMEA,C,C,C,80,HB-1175, ,I,,USD,809.1,707.9625,101.1375,EA,6,20160412
300000026,2,20160215,2,20160220,K4,2016002,100000012,EMEA,C,C,C,90,CC-1023, ,I,,USD,1224.9,1071.7875,153.1125,EA,1,20160412
300000026,2,20160215,2,20160220,K4,2016002,100000012,EMEA,C,C,C,100,CB-1161, ,I,,USD,359.1,314.2125,44.8875,EA,3,20160412
300000027,5,20160218,5,20160221,K4,2016002,100000016,APJ,C,C,C,10,HB-1171, ,I,,USD,629.1,550.4625,78.6375,EA,7,20160420
300000027,5,20160218,5,20160221,K4,2016002,100000016,APJ,C,C,C,20,RC-1052, ,I,,USD,3599.1,3149.2125,449.8875,EA,8,20160420
300000027,5,20160218,5,20160221,K4,2016002,100000016,APJ,C,C,C,30,RC-1055, ,I,,USD,1799.1,1574.2125,224.8875,EA,2,20160420
300000027,5,20160218,5,20160221,K4,2016002,100000016,APJ,C,C,C,40,HB-1171, ,I,,USD,629.1,550.4625,78.6375,EA,7,20160420
300000027,5,20160218,5,20160221,K4,2016002,100000016,APJ,C,C,C,50,CB-1163, ,I,,USD,259.2,226.8,32.4,EA,7,20160420
300000027,5,20160218,5,20160221,K4,2016002,100000016,APJ,C,C,C,60,BX-1014, ,I,,USD,719.1,629.2125,89.8875,EA,1,20160420
300000027,5,20160218,5,20160221,K4,2016002,100000016,APJ,C,C,C,70,CB-1161, ,I,,USD,359.1,314.2125,44.8875,EA,8,20160420
300000027,5,20160218,5,20160221,K4,2016002,100000016,APJ,C,C,C,80,EB-1133, ,I,,USD,2025,1771.875,253.125,EA,4,20160420
300000027,5,20160218,5,20160221,K4,2016002,100000016,APJ,C,C,C,90,EB-1132, ,I,,USD,1710,1496.25,213.75,EA,4,20160420
300000027,5,20160218,5,20160221,K4,2016002,100000016,APJ,C,C,C,100,RC-1052, ,I,,USD,3599.1,3149.2125,449.8875,EA,9,20160420
300000028,4,20160219,4,20160223,K4,2016002,100000019,APJ,C,C,C,10,EB-1136, ,I,,USD,4500,3937.5,562.5,EA,7,20160330
300000028,4,20160219,4,20160223,K4,2016002,100000019,APJ,C,C,C,20,MB-1033, ,I,,USD,3599.1,3149.2125,449.8875,EA,5,20160330
300000028,4,20160219,4,20160223,K4,2016002,100000019,APJ,C,C,C,30,CC-1023, ,I,,USD,1224.9,1071.7875,153.1125,EA,8,20160330
300000028,4,20160219,4,20160223,K4,2016002,100000019,APJ,C,C,C,40,RO-1003, ,I,,USD,648.9,567.7875,81.1125,EA,7,20160330
300000029,5,20160220,5,20160222,K4,2016002,100000020,APJ,C,C,C,10,HB-1172, ,I,,USD,719.1,629.2125,89.8875,EA,1,20160402
300000029,5,20160220,5,20160222,K4,2016002,100000020,APJ,C,C,C,20,BX-1014, ,I,,USD,719.1,629.2125,89.8875,EA,9,20160402
300000029,5,20160220,5,20160222,K4,2016002,100000020,APJ,C,C,C,30,RC-1054, ,I,,USD,4949.1,4330.4625,618.6375,EA,6,20160402
300000029,5,20160220,5,20160222,K4,2016002,100000020,APJ,C,C,C,40,BX-1013, ,I,,USD,404.1,353.5875,50.5125,EA,2,20160402
300000029,5,20160220,5,20160222,K4,2016002,100000020,APJ,C,C,C,50,EB-1132, ,I,,USD,1710,1496.25,213.75,EA,10,20160402
300000029,5,20160220,5,20160222,K4,2016002,100000020,APJ,C,C,C,60,EB-1133, ,I,,USD,2025,1771.875,253.125,EA,7,20160402
300000029,5,20160220,5,20160222,K4,2016002,100000020,APJ,C,C,C,70,RO-1001, ,I,,USD,472.5,413.4375,59.0625,EA,2,20160402
300000029,5,20160220,5,20160222,K4,2016002,100000020,APJ,C,C,C,80,HB-1172, ,I,,USD,719.1,629.2125,89.8875,EA,9,20160402
300000029,5,20160220,5,20160222,K4,2016002,100000020,APJ,C,C,C,90,CC-1022, ,I,,USD,1080,945,135,EA,9,20160402
300000030,8,20160222,8,20160226,K4,2016002,100000028,EMEA,C,C,C,10,HB-1173, ,I,,USD,584.1,511.0875,73.0125,EA,8,20160325
300000030,8,20160222,8,20160226,K4,2016002,100000028,EMEA,C,C,C,20,EB-1134, ,I,,USD,4320,3780,540,EA,9,20160325
300000030,8,20160222,8,20160226,K4,2016002,100000028,EMEA,C,C,C,30,BX-1013, ,I,,USD,404.1,353.5875,50.5125,EA,4,20160325
300000030,8,20160222,8,20160226,K4,2016002,100000028,EMEA,C,C,C,40,RO-1003, ,I,,USD,648.9,567.7875,81.1125,EA,9,20160325
300000030,8,20160222,8,20160226,K4,2016002,100000028,EMEA,C,C,C,50,HB-1173, ,I,,USD,584.1,511.0875,73.0125,EA,8,20160325
300000030,8,20160222,8,20160226,K4,2016002,100000028,EMEA,C,C,C,60,HB-1174, ,I,,USD,341.1,298.4625,42.6375,EA,7,20160325
300000030,8,20160222,8,20160226,K4,2016002,100000028,EMEA,C,C,C,70,DB-1082, ,I,,USD,1125,984.375,140.625,EA,2,20160325
300000030,8,20160222,8,20160226,K4,2016002,100000028,EMEA,C,C,C,80,EB-1133, ,I,,USD,2025,1771.875,253.125,EA,4,20160325
300000031,2,20160223,2,20160225,K4,2016002,100000011,EMEA,C,C,C,10,CC-1021, ,I,,USD,1029.6,900.9,128.7,EA,2,20160408
300000031,2,20160223,2,20160225,K4,2016002,100000011,EMEA,C,C,C,20,CB-1163, ,I,,USD,259.2,226.8,32.4,EA,2,20160408
300000031,2,20160223,2,20160225,K4,2016002,100000011,EMEA,C,C,C,30,RC-1053, ,I,,USD,4139.1,3621.7125,517.3875,EA,8,20160408
300000031,2,20160223,2,20160225,K4,2016002,100000011,EMEA,C,C,C,40,BX-1012, ,I,,USD,359.1,314.2125,44.8875,EA,5,20160408
300000031,2,20160223,2,20160225,K4,2016002,100000011,EMEA,C,C,C,50,RO-1003, ,I,,USD,648.9,567.7875,81.1125,EA,5,20160408
300000031,2,20160223,2,20160225,K4,2016002,100000011,EMEA,C,C,C,60,DB-1083, ,I,,USD,1079.1,944.2125,134.8875,EA,3,20160408
300000031,2,20160223,2,20160225,K4,2016002,100000011,EMEA,C,C,C,70,HB-1171, ,I,,USD,629.1,550.4625,78.6375,EA,1,20160408
